Time_Casa,Estado_Time_Casa,Time_Visitante,Estado_Time_Visitante,Gols_Mandante,Gols_Visitante,Temporada,Rodada,Empate,Vencedor,Derrotado,Pontuacao_Casa,Pontuacao_Visitante,Num_Vitorias_Casa,Num_Derrota_Casa,Num_Empate_Casa,Num_Vitorias_Visitante,Num_Derrota_Visitante,Num_Empate_Visitante,Saldo_Mandante,Saldo_Visitante,Total_Pontos_Casa,Total_Vitorias_Casa,Total_Empates_Casa,Total_Derrotas_Casa,Total_Saldo_Casa,Total_Pontos_Visitante,Total_Vitorias_Visitante,Total_Empates_Visitante,Total_Derrotas_Visitante,Total_Saldo_Visitante
Vitoria,BA,Sao Paulo,SP,1,2,2014,33,False,Sao Paulo,Vitoria,0,3,0,1,0,1,0,0,-1,1,38,10,8,20,-17,70,20,10,8,19
Sport,PE,Flamengo,RJ,2,2,2014,33,True,None,None,1,1,0,0,1,0,0,1,0,0,52,14,10,14,-10,52,14,10,14,-1
Cruzeiro,MG,Criciuma,SC,3,1,2014,33,False,Cruzeiro,Criciuma,3,0,1,0,0,0,1,0,2,-2,80,24,8,6,29,32,7,11,20,-28
Corinthians,SP,Santos,SP,1,0,2014,33,False,Corinthians,Santos,3,0,1,0,0,0,1,0,1,-1,69,19,12,7,18,53,15,8,15,7
Goias,GO,Bahia,BA,3,0,2014,33,False,Goias,Bahia,3,0,1,0,0,0,1,0,3,-3,47,13,8,17,-2,37,9,10,19,-12
Fluminense,RJ,Botafogo,RJ,1,0,2014,34,False,Fluminense,Botafogo,3,0,1,0,0,0,1,0,1,-1,61,17,10,11,19,34,9,7,22,-17
Criciuma,SC,Gremio,RS,0,3,2014,34,False,Gremio,Criciuma,0,3,0,1,0,1,0,0,-3,3,32,7,11,20,-28,61,17,10,11,12
Bahia,BA,Corinthians,SP,1,2,2014,34,False,Corinthians,Bahia,0,3,0,1,0,1,0,0,-1,1,37,9,10,19,-12,69,19,12,7,18
Internacional,RS,Goias,GO,1,0,2014,34,False,Internacional,Goias,3,0,1,0,0,0,1,0,1,-1,69,21,6,11,12,47,13,8,17,-2
Santos,SP,Cruzeiro,MG,0,1,2014,34,False,Cruzeiro,Santos,0,3,0,1,0,1,0,0,-1,1,53,15,8,15,7,80,24,8,6,29
Flamengo,RJ,Coritiba,PR,3,2,2014,34,False,Flamengo,Coritiba,3,0,1,0,0,0,1,0,1,-1,52,14,10,14,-1,47,12,11,15,-3
Athletico-PR,PR,Sport,PE,0,1,2014,34,False,Sport,Athletico-PR,0,3,0,1,0,1,0,0,-1,1,54,15,9,14,1,52,14,10,14,-10
Atletico-MG,MG,Figueirense,SC,1,1,2014,34,True,None,None,1,1,0,0,1,0,0,1,0,0,62,17,11,10,13,47,13,8,17,-10
Sao Paulo,SP,Palmeiras,SP,2,0,2014,34,False,Sao Paulo,Palmeiras,3,0,1,0,0,0,1,0,2,-2,70,20,10,8,19,40,11,7,20,-25
Chapecoense,SC,Vitoria,BA,0,1,2014,34,False,Vitoria,Chapecoense,0,3,0,1,0,1,0,0,-1,1,43,11,10,17,-5,38,10,8,20,-17
Sao Paulo,SP,Internacional,RS,1,1,2014,35,True,None,None,1,1,0,0,1,0,0,1,0,0,70,20,10,8,19,69,21,6,11,12
Athletico-PR,PR,Santos,SP,1,1,2014,35,True,None,None,1,1,0,0,1,0,0,1,0,0,54,15,9,14,1,53,15,8,15,7
Botafogo,RJ,Figueirense,SC,0,1,2014,35,False,Figueirense,Botafogo,0,3,0,1,0,1,0,0,-1,1,34,9,7,22,-17,47,13,8,17,-10
Criciuma,SC,Bahia,BA,0,1,2014,35,False,Bahia,Criciuma,0,3,0,1,0,1,0,0,-1,1,32,7,11,20,-28,37,9,10,19,-12
Vitoria,BA,Coritiba,PR,1,1,2014,35,True,None,None,1,1,0,0,1,0,0,1,0,0,38,10,8,20,-17,47,12,11,15,-3
Goias,GO,Corinthians,SP,0,1,2014,35,False,Corinthians,Goias,0,3,0,1,0,1,0,0,-1,1,47,13,8,17,-2,69,19,12,7,18
Palmeiras,SP,Sport,PE,0,2,2014,35,False,Sport,Palmeiras,0,3,0,1,0,1,0,0,-2,2,40,11,7,20,-25,52,14,10,14,-10
Atletico-MG,MG,Flamengo,RJ,4,0,2014,35,False,Atletico-MG,Flamengo,3,0,1,0,0,0,1,0,4,-4,62,17,11,10,13,52,14,10,14,-1
Fluminense,RJ,Chapecoense,SC,1,4,2014,35,False,Chapecoense,Fluminense,0,3,0,1,0,1,0,0,-3,3,61,17,10,11,19,43,11,10,17,-5
Gremio,RS,Cruzeiro,MG,1,2,2014,35,False,Cruzeiro,Gremio,0,3,0,1,0,1,0,0,-1,1,61,17,10,11,12,80,24,8,6,29
Internacional,RS,Atletico-MG,MG,2,1,2014,36,False,Internacional,Atletico-MG,3,0,1,0,0,0,1,0,1,-1,69,21,6,11,12,62,17,11,10,13
Bahia,BA,Athletico-PR,PR,1,2,2014,36,False,Athletico-PR,Bahia,0,3,0,1,0,1,0,0,-1,1,37,9,10,19,-12,54,15,9,14,1
Cruzeiro,MG,Goias,GO,2,1,2014,36,False,Cruzeiro,Goias,3,0,1,0,0,0,1,0,1,-1,80,24,8,6,29,47,13,8,17,-2
Figueirense,SC,Vitoria,BA,2,0,2014,36,False,Figueirense,Vitoria,3,0,1,0,0,0,1,0,2,-2,47,13,8,17,-10,38,10,8,20,-17
Santos,SP,Sao Paulo,SP,0,1,2014,36,False,Sao Paulo,Santos,0,3,0,1,0,1,0,0,-1,1,53,15,8,15,7,70,20,10,8,19
Sport,PE,Fluminense,RJ,2,2,2014,36,True,None,None,1,1,0,0,1,0,0,1,0,0,52,14,10,14,-10,61,17,10,11,19
Flamengo,RJ,Criciuma,SC,1,1,2014,36,True,None,None,1,1,0,0,1,0,0,1,0,0,52,14,10,14,-1,32,7,11,20,-28
Coritiba,PR,Palmeiras,SP,2,0,2014,36,False,Coritiba,Palmeiras,3,0,1,0,0,0,1,0,2,-2,47,12,11,15,-3,40,11,7,20,-25
Corinthians,SP,Gremio,RS,1,0,2014,36,False,Corinthians,Gremio,3,0,1,0,0,0,1,0,1,-1,69,19,12,7,18,61,17,10,11,12
Chapecoense,SC,Botafogo,RJ,2,0,2014,36,False,Chapecoense,Botafogo,3,0,1,0,0,0,1,0,2,-2,43,11,10,17,-5,34,9,7,22,-17
Criciuma,SC,Sport,PE,2,2,2014,37,True,None,None,1,1,0,0,1,0,0,1,0,0,32,7,11,20,-28,52,14,10,14,-10
Internacional,RS,Palmeiras,SP,3,1,2014,37,False,Internacional,Palmeiras,3,0,1,0,0,0,1,0,2,-2,69,21,6,11,12,40,11,7,20,-25
Flamengo,RJ,Vitoria,BA,4,0,2014,37,False,Flamengo,Vitoria,3,0,1,0,0,0,1,0,4,-4,52,14,10,14,-1,38,10,8,20,-17
Sao Paulo,SP,Figueirense,SC,1,1,2014,37,True,None,None,1,1,0,0,1,0,0,1,0,0,70,20,10,8,19,47,13,8,17,-10
Fluminense,RJ,Corinthians,SP,5,2,2014,37,False,Fluminense,Corinthians,3,0,1,0,0,0,1,0,3,-3,61,17,10,11,19,69,19,12,7,18
Chapecoense,SC,Cruzeiro,MG,1,1,2014,37,True,None,None,1,1,0,0,1,0,0,1,0,0,43,11,10,17,-5,80,24,8,6,29
Santos,SP,Botafogo,RJ,2,0,2014,37,False,Santos,Botafogo,3,0,1,0,0,0,1,0,2,-2,53,15,8,15,7,34,9,7,22,-17
Athletico-PR,PR,Goias,GO,1,0,2014,37,False,Athletico-PR,Goias,3,0,1,0,0,0,1,0,1,-1,54,15,9,14,1,47,13,8,17,-2
Atletico-MG,MG,Coritiba,PR,1,2,2014,37,False,Coritiba,Atletico-MG,0,3,0,1,0,1,0,0,-1,1,62,17,11,10,13,47,12,11,15,-3
Bahia,BA,Gremio,RS,1,0,2014,37,False,Bahia,Gremio,3,0,1,0,0,0,1,0,1,-1,37,9,10,19,-12,61,17,10,11,12
Figueirense,SC,Internacional,RS,1,2,2014,38,False,Internacional,Figueirense,0,3,0,1,0,1,0,0,-1,1,47,13,8,17,-10,69,21,6,11,12
Corinthians,SP,Criciuma,SC,2,1,2014,38,False,Corinthians,Criciuma,3,0,1,0,0,0,1,0,1,-1,69,19,12,7,18,32,7,11,20,-28
Vitoria,BA,Santos,SP,0,1,2014,38,False,Santos,Vitoria,0,3,0,1,0,1,0,0,-1,1,38,10,8,20,-17,53,15,8,15,7
Gremio,RS,Flamengo,RJ,1,1,2014,38,True,None,None,1,1,0,0,1,0,0,1,0,0,61,17,10,11,12,52,14,10,14,-1
Sport,PE,Sao Paulo,SP,1,0,2014,38,False,Sport,Sao Paulo,3,0,1,0,0,0,1,0,1,-1,52,14,10,14,-10,70,20,10,8,19
Cruzeiro,MG,Fluminense,RJ,2,1,2014,38,False,Cruzeiro,Fluminense,3,0,1,0,0,0,1,0,1,-1,80,24,8,6,29,61,17,10,11,19
Coritiba,PR,Bahia,BA,3,2,2014,38,False,Coritiba,Bahia,3,0,1,0,0,0,1,0,1,-1,47,12,11,15,-3,37,9,10,19,-12
Palmeiras,SP,Athletico-PR,PR,1,1,2014,38,True,None,None,1,1,0,0,1,0,0,1,0,0,40,11,7,20,-25,54,15,9,14,1
Botafogo,RJ,Atletico-MG,MG,0,0,2014,38,True,None,None,1,1,0,0,1,0,0,1,0,0,34,9,7,22,-17,62,17,11,10,13
Goias,GO,Chapecoense,SC,4,2,2014,38,False,Goias,Chapecoense,3,0,1,0,0,0,1,0,2,-2,47,13,8,17,-2,43,11,10,17,-5
Palmeiras,SP,Atletico-MG,MG,2,2,2015,1,True,None,None,1,1,0,0,1,0,0,1,0,0,53,15,8,15,9,70,21,7,10,20
Chapecoense,SC,Coritiba,PR,2,1,2015,1,False,Chapecoense,Coritiba,3,0,1,0,0,0,1,0,1,-1,47,12,11,15,-10,44,11,11,16,-11
Fluminense,RJ,Joinville,SC,1,0,2015,1,False,Fluminense,Joinville,3,0,1,0,0,0,1,0,1,-1,47,14,5,19,-9,31,7,10,21,-22
Gremio,RS,Ponte Preta,SP,3,3,2015,1,True,None,None,1,1,0,0,1,0,0,1,0,0,68,20,8,10,20,51,13,12,13,1
Sao Paulo,SP,Flamengo,RJ,2,1,2015,1,False,Sao Paulo,Flamengo,3,0,1,0,0,0,1,0,1,-1,60,17,9,12,7,49,15,4,19,-8
Cruzeiro,MG,Corinthians,SP,0,1,2015,1,False,Corinthians,Cruzeiro,0,3,0,1,0,1,0,0,-1,1,55,15,10,13,9,81,24,9,5,40
Athletico-PR,PR,Internacional,RS,3,0,2015,1,False,Athletico-PR,Internacional,3,0,1,0,0,0,1,0,3,-3,51,14,9,15,-5,60,17,9,12,1
Sport,PE,Figueirense,SC,4,1,2015,1,False,Sport,Figueirense,3,0,1,0,0,0,1,0,3,-3,59,15,14,9,15,43,11,10,17,-14
Vasco da Gama,RJ,Goias,GO,0,0,2015,1,True,None,None,1,1,0,0,1,0,0,1,0,0,41,10,11,17,-26,38,10,8,20,-13
Avai,SC,Santos,SP,1,1,2015,1,True,None,None,1,1,0,0,1,0,0,1,0,0,42,11,9,18,-22,58,16,10,12,18
Coritiba,PR,Gremio,RS,2,0,2015,2,False,Coritiba,Gremio,3,0,1,0,0,0,1,0,2,-2,44,11,11,16,-11,68,20,8,10,20
Goias,GO,Athletico-PR,PR,2,0,2015,2,False,Goias,Athletico-PR,3,0,1,0,0,0,1,0,2,-2,38,10,8,20,-13,51,14,9,15,-5
Corinthians,SP,Chapecoense,SC,1,0,2015,2,False,Corinthians,Chapecoense,3,0,1,0,0,0,1,0,1,-1,81,24,9,5,40,47,12,11,15,-10
Figueirense,SC,Vasco da Gama,RJ,0,0,2015,2,True,None,None,1,1,0,0,1,0,0,1,0,0,43,11,10,17,-14,41,10,11,17,-26
Flamengo,RJ,Sport,PE,2,2,2015,2,True,None,None,1,1,0,0,1,0,0,1,0,0,49,15,4,19,-8,59,15,14,9,15
Santos,SP,Cruzeiro,MG,1,0,2015,2,False,Santos,Cruzeiro,3,0,1,0,0,0,1,0,1,-1,58,16,10,12,18,55,15,10,13,9
Atletico-MG,MG,Fluminense,RJ,4,1,2015,2,False,Atletico-MG,Fluminense,3,0,1,0,0,0,1,0,3,-3,70,21,7,10,20,47,14,5,19,-9
Joinville,SC,Palmeiras,SP,0,0,2015,2,True,None,None,1,1,0,0,1,0,0,1,0,0,31,7,10,21,-22,53,15,8,15,9
Ponte Preta,SP,Sao Paulo,SP,1,0,2015,2,False,Ponte Preta,Sao Paulo,3,0,1,0,0,0,1,0,1,-1,51,13,12,13,1,60,17,9,12,7
Internacional,RS,Avai,SC,1,0,2015,2,False,Internacional,Avai,3,0,1,0,0,0,1,0,1,-1,60,17,9,12,1,42,11,9,18,-22
Sao Paulo,SP,Joinville,SC,3,0,2015,3,False,Sao Paulo,Joinville,3,0,1,0,0,0,1,0,3,-3,60,17,9,12,7,31,7,10,21,-22
Vasco da Gama,RJ,Internacional,RS,1,1,2015,3,True,None,None,1,1,0,0,1,0,0,1,0,0,41,10,11,17,-26,60,17,9,12,1
Gremio,RS,Figueirense,SC,1,0,2015,3,False,Gremio,Figueirense,3,0,1,0,0,0,1,0,1,-1,68,20,8,10,20,43,11,10,17,-14
Palmeiras,SP,Goias,GO,0,1,2015,3,False,Goias,Palmeiras,0,3,0,1,0,1,0,0,-1,1,53,15,8,15,9,38,10,8,20,-13
Chapecoense,SC,Santos,SP,1,0,2015,3,False,Chapecoense,Santos,3,0,1,0,0,0,1,0,1,-1,47,12,11,15,-10,58,16,10,12,18
Fluminense,RJ,Corinthians,SP,0,0,2015,3,True,None,None,1,1,0,0,1,0,0,1,0,0,47,14,5,19,-9,81,24,9,5,40
Athletico-PR,PR,Atletico-MG,MG,1,0,2015,3,False,Athletico-PR,Atletico-MG,3,0,1,0,0,0,1,0,1,-1,51,14,9,15,-5,70,21,7,10,20
Avai,SC,Flamengo,RJ,2,1,2015,3,False,Avai,Flamengo,3,0,1,0,0,0,1,0,1,-1,42,11,9,18,-22,49,15,4,19,-8
Cruzeiro,MG,Ponte Preta,SP,1,1,2015,3,True,None,None,1,1,0,0,1,0,0,1,0,0,55,15,10,13,9,51,13,12,13,1
Sport,PE,Coritiba,PR,1,0,2015,3,False,Sport,Coritiba,3,0,1,0,0,0,1,0,1,-1,59,15,14,9,15,44,11,11,16,-11
Ponte Preta,SP,Chapecoense,SC,3,1,2015,4,False,Ponte Preta,Chapecoense,3,0,1,0,0,0,1,0,2,-2,51,13,12,13,1,47,12,11,15,-10
Coritiba,PR,Avai,SC,1,2,2015,4,False,Avai,Coritiba,0,3,0,1,0,1,0,0,-1,1,44,11,11,16,-11,42,11,9,18,-22
Joinville,SC,Athletico-PR,PR,1,2,2015,4,False,Athletico-PR,Joinville,0,3,0,1,0,1,0,0,-1,1,31,7,10,21,-22,51,14,9,15,-5
Santos,SP,Sport,PE,2,2,2015,4,True,None,None,1,1,0,0,1,0,0,1,0,0,58,16,10,12,18,59,15,14,9,15
Goias,GO,Gremio,RS,1,1,2015,4,True,None,None,1,1,0,0,1,0,0,1,0,0,38,10,8,20,-13,68,20,8,10,20
Atletico-MG,MG,Vasco da Gama,RJ,3,0,2015,4,False,Atletico-MG,Vasco da Gama,3,0,1,0,0,0,1,0,3,-3,70,21,7,10,20,41,10,11,17,-26
Internacional,RS,Sao Paulo,SP,0,0,2015,4,True,None,None,1,1,0,0,1,0,0,1,0,0,60,17,9,12,1,60,17,9,12,7
Corinthians,SP,Palmeiras,SP,0,2,2015,4,False,Palmeiras,Corinthians,0,3,0,1,0,1,0,0,-2,2,81,24,9,5,40,53,15,8,15,9
Flamengo,RJ,Fluminense,RJ,2,3,2015,4,False,Fluminense,Flamengo,0,3,0,1,0,1,0,0,-1,1,49,15,4,19,-8,47,14,5,19,-9
Figueirense,SC,Cruzeiro,MG,2,1,2015,4,False,Figueirense,Cruzeiro,3,0,1,0,0,0,1,0,1,-1,43,11,10,17,-14,55,15,10,13,9
Vasco da Gama,RJ,Ponte Preta,SP,0,3,2015,5,False,Ponte Preta,Vasco da Gama,0,3,0,1,0,1,0,0,-3,3,41,10,11,17,-26,51,13,12,13,1
Athletico-PR,PR,Figueirense,SC,1,0,2015,5,False,Athletico-PR,Figueirense,3,0,1,0,0,0,1,0,1,-1,51,14,9,15,-5,43,11,10,17,-14
Chapecoense,SC,Joinville,SC,2,0,2015,5,False,Chapecoense,Joinville,3,0,1,0,0,0,1,0,2,-2,47,12,11,15,-10,31,7,10,21,-22
Sao Paulo,SP,Santos,SP,3,2,2015,5,False,Sao Paulo,Santos,3,0,1,0,0,0,1,0,1,-1,60,17,9,12,7,58,16,10,12,18
Gremio,RS,Corinthians,SP,3,1,2015,5,False,Gremio,Corinthians,3,0,1,0,0,0,1,0,2,-2,68,20,8,10,20,81,24,9,5,40
Cruzeiro,MG,Flamengo,RJ,1,0,2015,5,False,Cruzeiro,Flamengo,3,0,1,0,0,0,1,0,1,-1,55,15,10,13,9,49,15,4,19,-8
Avai,SC,Atletico-MG,MG,1,4,2015,5,False,Atletico-MG,Avai,0,3,0,1,0,1,0,0,-3,3,42,11,9,18,-22,70,21,7,10,20
Fluminense,RJ,Coritiba,PR,2,0,2015,5,False,Fluminense,Coritiba,3,0,1,0,0,0,1,0,2,-2,47,14,5,19,-9,44,11,11,16,-11
Sport,PE,Goias,GO,1,0,2015,5,False,Sport,Goias,3,0,1,0,0,0,1,0,1,-1,59,15,14,9,15,38,10,8,20,-13
Palmeiras,SP,Internacional,RS,1,1,2015,5,True,None,None,1,1,0,0,1,0,0,1,0,0,53,15,8,15,9,60,17,9,12,1
Santos,SP,Ponte Preta,SP,2,2,2015,6,True,None,None,1,1,0,0,1,0,0,1,0,0,58,16,10,12,18,51,13,12,13,1
Flamengo,RJ,Chapecoense,SC,1,0,2015,6,False,Flamengo,Chapecoense,3,0,1,0,0,0,1,0,1,-1,49,15,4,19,-8,47,12,11,15,-10
Atletico-MG,MG,Cruzeiro,MG,1,3,2015,6,False,Cruzeiro,Atletico-MG,0,3,0,1,0,1,0,0,-2,2,70,21,7,10,20,55,15,10,13,9
Sao Paulo,SP,Gremio,RS,2,0,2015,6,False,Sao Paulo,Gremio,3,0,1,0,0,0,1,0,2,-2,60,17,9,12,7,68,20,8,10,20
Athletico-PR,PR,Vasco da Gama,RJ,2,0,2015,6,False,Athletico-PR,Vasco da Gama,3,0,1,0,0,0,1,0,2,-2,51,14,9,15,-5,41,10,11,17,-26
Joinville,SC,Corinthians,SP,0,1,2015,6,False,Corinthians,Joinville,0,3,0,1,0,1,0,0,-1,1,31,7,10,21,-22,81,24,9,5,40
Internacional,RS,Coritiba,PR,2,0,2015,6,False,Internacional,Coritiba,3,0,1,0,0,0,1,0,2,-2,60,17,9,12,1,44,11,11,16,-11
Fluminense,RJ,Sport,PE,0,0,2015,6,True,None,None,1,1,0,0,1,0,0,1,0,0,47,14,5,19,-9,59,15,14,9,15
Figueirense,SC,Palmeiras,SP,2,1,2015,6,False,Figueirense,Palmeiras,3,0,1,0,0,0,1,0,1,-1,43,11,10,17,-14,53,15,8,15,9
Goias,GO,Avai,SC,0,1,2015,6,False,Avai,Goias,0,3,0,1,0,1,0,0,-1,1,38,10,8,20,-13,42,11,9,18,-22
Atletico-MG,MG,Santos,SP,2,2,2015,7,True,None,None,1,1,0,0,1,0,0,1,0,0,70,21,7,10,20,58,16,10,12,18
Coritiba,PR,Flamengo,RJ,0,1,2015,7,False,Flamengo,Coritiba,0,3,0,1,0,1,0,0,-1,1,44,11,11,16,-11,49,15,4,19,-8
Chapecoense,SC,Sao Paulo,SP,0,1,2015,7,False,Sao Paulo,Chapecoense,0,3,0,1,0,1,0,0,-1,1,47,12,11,15,-10,60,17,9,12,7
Corinthians,SP,Internacional,RS,2,1,2015,7,False,Corinthians,Internacional,3,0,1,0,0,0,1,0,1,-1,81,24,9,5,40,60,17,9,12,1
Vasco da Gama,RJ,Cruzeiro,MG,1,3,2015,7,False,Cruzeiro,Vasco da Gama,0,3,0,1,0,1,0,0,-2,2,41,10,11,17,-26,55,15,10,13,9
Sport,PE,Joinville,SC,2,1,2015,7,False,Sport,Joinville,3,0,1,0,0,0,1,0,1,-1,59,15,14,9,15,31,7,10,21,-22
Ponte Preta,SP,Goias,GO,0,0,2015,7,True,None,None,1,1,0,0,1,0,0,1,0,0,51,13,12,13,1,38,10,8,20,-13
Palmeiras,SP,Fluminense,RJ,2,1,2015,7,False,Palmeiras,Fluminense,3,0,1,0,0,0,1,0,1,-1,53,15,8,15,9,47,14,5,19,-9
Gremio,RS,Athletico-PR,PR,2,1,2015,7,False,Gremio,Athletico-PR,3,0,1,0,0,0,1,0,1,-1,68,20,8,10,20,51,14,9,15,-5
Avai,SC,Figueirense,SC,1,1,2015,7,True,None,None,1,1,0,0,1,0,0,1,0,0,42,11,9,18,-22,43,11,10,17,-14
Figueirense,SC,Internacional,RS,0,0,2015,8,True,None,None,1,1,0,0,1,0,0,1,0,0,43,11,10,17,-14,60,17,9,12,1
Sport,PE,Vasco da Gama,RJ,2,1,2015,8,False,Sport,Vasco da Gama,3,0,1,0,0,0,1,0,1,-1,59,15,14,9,15,41,10,11,17,-26
Santos,SP,Corinthians,SP,1,0,2015,8,False,Santos,Corinthians,3,0,1,0,0,0,1,0,1,-1,58,16,10,12,18,81,24,9,5,40
Flamengo,RJ,Atletico-MG,MG,0,2,2015,8,False,Atletico-MG,Flamengo,0,3,0,1,0,1,0,0,-2,2,49,15,4,19,-8,70,21,7,10,20
Gremio,RS,Palmeiras,SP,1,0,2015,8,False,Gremio,Palmeiras,3,0,1,0,0,0,1,0,1,-1,68,20,8,10,20,53,15,8,15,9
Cruzeiro,MG,Chapecoense,SC,0,1,2015,8,False,Chapecoense,Cruzeiro,0,3,0,1,0,1,0,0,-1,1,55,15,10,13,9,47,12,11,15,-10
Sao Paulo,SP,Avai,SC,1,1,2015,8,True,None,None,1,1,0,0,1,0,0,1,0,0,60,17,9,12,7,42,11,9,18,-22
Athletico-PR,PR,Coritiba,PR,2,2,2015,8,True,None,None,1,1,0,0,1,0,0,1,0,0,51,14,9,15,-5,44,11,11,16,-11
Joinville,SC,Goias,GO,2,1,2015,8,False,Joinville,Goias,3,0,1,0,0,0,1,0,1,-1,31,7,10,21,-22,38,10,8,20,-13
Fluminense,RJ,Ponte Preta,SP,2,0,2015,8,False,Fluminense,Ponte Preta,3,0,1,0,0,0,1,0,2,-2,47,14,5,19,-9,51,13,12,13,1
Avai,SC,Gremio,RS,1,2,2015,9,False,Gremio,Avai,0,3,0,1,0,1,0,0,-1,1,42,11,9,18,-22,68,20,8,10,20
Chapecoense,SC,Sport,PE,1,1,2015,9,True,None,None,1,1,0,0,1,0,0,1,0,0,47,12,11,15,-10,59,15,14,9,15
Corinthians,SP,Figueirense,SC,2,1,2015,9,False,Corinthians,Figueirense,3,0,1,0,0,0,1,0,1,-1,81,24,9,5,40,43,11,10,17,-14
Atletico-MG,MG,Joinville,SC,1,0,2015,9,False,Atletico-MG,Joinville,3,0,1,0,0,0,1,0,1,-1,70,21,7,10,20,31,7,10,21,-22
Goias,GO,Fluminense,RJ,1,2,2015,9,False,Fluminense,Goias,0,3,0,1,0,1,0,0,-1,1,38,10,8,20,-13,47,14,5,19,-9
Ponte Preta,SP,Athletico-PR,PR,2,1,2015,9,False,Ponte Preta,Athletico-PR,3,0,1,0,0,0,1,0,1,-1,51,13,12,13,1,51,14,9,15,-5
Coritiba,PR,Cruzeiro,MG,1,0,2015,9,False,Coritiba,Cruzeiro,3,0,1,0,0,0,1,0,1,-1,44,11,11,16,-11,55,15,10,13,9
Palmeiras,SP,Sao Paulo,SP,4,0,2015,9,False,Palmeiras,Sao Paulo,3,0,1,0,0,0,1,0,4,-4,53,15,8,15,9,60,17,9,12,7
Vasco da Gama,RJ,Flamengo,RJ,1,0,2015,9,False,Vasco da Gama,Flamengo,3,0,1,0,0,0,1,0,1,-1,41,10,11,17,-26,49,15,4,19,-8
Internacional,RS,Santos,SP,1,0,2015,9,False,Internacional,Santos,3,0,1,0,0,0,1,0,1,-1,60,17,9,12,1,58,16,10,12,18
Vasco da Gama,RJ,Avai,SC,1,0,2015,10,False,Vasco da Gama,Avai,3,0,1,0,0,0,1,0,1,-1,41,10,11,17,-26,42,11,9,18,-22
Sport,PE,Internacional,RS,3,0,2015,10,False,Sport,Internacional,3,0,1,0,0,0,1,0,3,-3,59,15,14,9,15,60,17,9,12,1
Palmeiras,SP,Chapecoense,SC,2,0,2015,10,False,Palmeiras,Chapecoense,3,0,1,0,0,0,1,0,2,-2,53,15,8,15,9,47,12,11,15,-10
Atletico-MG,MG,Coritiba,PR,2,0,2015,10,False,Atletico-MG,Coritiba,3,0,1,0,0,0,1,0,2,-2,70,21,7,10,20,44,11,11,16,-11
Joinville,SC,Flamengo,RJ,0,1,2015,10,False,Flamengo,Joinville,0,3,0,1,0,1,0,0,-1,1,31,7,10,21,-22,49,15,4,19,-8
Athletico-PR,PR,Sao Paulo,SP,2,1,2015,10,False,Athletico-PR,Sao Paulo,3,0,1,0,0,0,1,0,1,-1,51,14,9,15,-5,60,17,9,12,7
Gremio,RS,Cruzeiro,MG,1,0,2015,10,False,Gremio,Cruzeiro,3,0,1,0,0,0,1,0,1,-1,68,20,8,10,20,55,15,10,13,9
Corinthians,SP,Ponte Preta,SP,2,0,2015,10,False,Corinthians,Ponte Preta,3,0,1,0,0,0,1,0,2,-2,81,24,9,5,40,51,13,12,13,1
Figueirense,SC,Goias,GO,3,1,2015,10,False,Figueirense,Goias,3,0,1,0,0,0,1,0,2,-2,43,11,10,17,-14,38,10,8,20,-13
Fluminense,RJ,Santos,SP,2,1,2015,10,False,Fluminense,Santos,3,0,1,0,0,0,1,0,1,-1,47,14,5,19,-9,58,16,10,12,18
Coritiba,PR,Joinville,SC,0,0,2015,11,True,None,None,1,1,0,0,1,0,0,1,0,0,44,11,11,16,-11,31,7,10,21,-22
Chapecoense,SC,Vasco da Gama,RJ,1,0,2015,11,False,Chapecoense,Vasco da Gama,3,0,1,0,0,0,1,0,1,-1,47,12,11,15,-10,41,10,11,17,-26
Cruzeiro,MG,Athletico-PR,PR,2,0,2015,11,False,Cruzeiro,Athletico-PR,3,0,1,0,0,0,1,0,2,-2,55,15,10,13,9,51,14,9,15,-5
Avai,SC,Sport,PE,2,2,2015,11,True,None,None,1,1,0,0,1,0,0,1,0,0,42,11,9,18,-22,59,15,14,9,15
Sao Paulo,SP,Fluminense,RJ,0,0,2015,11,True,None,None,1,1,0,0,1,0,0,1,0,0,60,17,9,12,7,47,14,5,19,-9
Santos,SP,Gremio,RS,1,3,2015,11,False,Gremio,Santos,0,3,0,1,0,1,0,0,-2,2,58,16,10,12,18,68,20,8,10,20
Goias,GO,Corinthians,SP,0,0,2015,11,True,None,None,1,1,0,0,1,0,0,1,0,0,38,10,8,20,-13,81,24,9,5,40
Internacional,RS,Atletico-MG,MG,1,3,2015,11,False,Atletico-MG,Internacional,0,3,0,1,0,1,0,0,-2,2,60,17,9,12,1,70,21,7,10,20
Flamengo,RJ,Figueirense,SC,1,2,2015,11,False,Figueirense,Flamengo,0,3,0,1,0,1,0,0,-1,1,49,15,4,19,-8,43,11,10,17,-14
Ponte Preta,SP,Palmeiras,SP,0,2,2015,11,False,Palmeiras,Ponte Preta,0,3,0,1,0,1,0,0,-2,2,51,13,12,13,1,53,15,8,15,9
Coritiba,PR,Ponte Preta,SP,0,0,2015,12,True,None,None,1,1,0,0,1,0,0,1,0,0,44,11,11,16,-11,51,13,12,13,1
Goias,GO,Santos,SP,4,1,2015,12,False,Goias,Santos,3,0,1,0,0,0,1,0,3,-3,38,10,8,20,-13,58,16,10,12,18
